baryon_density,pressurec2,energy_densityc2
3.31557112e14,1.0763110621223576e13,3.4183825137e14
3.3287482e14,1.0922036383606414e13,3.4323998838e14
3.34192694e14,1.1082858830503412e13,3.4464243847e14
3.35510402e14,1.1245590440102162e13,3.4604542337e14
3.36828276e14,1.1410245473188484e13,3.4744912135e14
3.3814615e14,1.157683284275352e13,3.4885353241e14
3.39463858e14,1.1745366809583084e13,3.5025847828e14
3.40781732e14,1.1915859851864773e13,3.5166413723e14
3.42099606e14,1.2088322665187955e13,3.5307050926e14
3.43417314e14,1.2262767727740219e13,3.544774161e14
3.44735188e14,1.2439205735110932e13,3.5588503602e14
3.46052896e14,1.2617649165487688e13,3.5729336902e14
3.4737077e14,1.2798110497058078e13,3.587024151e14
3.48688644e14,1.29806022080097e13,3.6011217426e14
3.50006352e14,1.3165133211333684e13,3.6152246823e14
3.51324226e14,1.3351715985217629e13,3.6293365355e14
3.526421e14,1.35403612252509e13,3.6434537368e14
3.53959808e14,1.3731083192219318e13,3.6575798516e14
3.55277682e14,1.392389079911402e13,3.6717113145e14
3.5659539e14,1.411879474152437e13,3.6858499082e14
3.57913264e14,1.431580749763796e13,3.6999974154e14
3.59231138e14,1.451494154564239e13,3.7141520534e14
3.60548846e14,1.4716204015930566e13,3.7283120395e14
3.6186672e14,1.4919609169288309e13,3.7424809391e14
3.63184594e14,1.5125165918706756e13,3.7566569695e14
3.64502302e14,1.53328867423735e13,3.7708401307e14
3.65820176e14,1.5542780553279682e13,3.7850322054e14
3.67137884e14,1.5754858047014666e13,3.7992314109e14
3.68455758e14,1.5969131701766043e13,3.8134377472e14
3.69773632e14,1.6185610430524953e13,3.8276512143e14
3.7109134e14,1.6404304928880762e13,3.8418735949e14
3.72409214e14,1.6625225892422834e13,3.8561031063e14
3.73727088e14,1.6848384016740533e13,3.8703397485e14
3.75044796e14,1.7073788214825004e13,3.8845853042e14
3.7636267e14,1.7301449182265605e13,3.8988397734e14
3.77680378e14,1.753137583205348e13,3.9131013734e14
3.78998252e14,1.7763580642376215e13,3.9273701042e14
3.80316126e14,1.799807430882318e13,3.9416477485e14
3.81633834e14,1.8234856831394375e13,3.9559325236e14
3.82951708e14,1.8473956731661445e13,3.9702279949e14
3.84269582e14,1.8715356183642105e13,3.9845288143e14
3.8558729e14,1.8959090839300918e13,3.9988403299e14
3.86905164e14,1.920516069863787e13,4.0131589763e14
3.88222872e14,1.9453565761652977e13,4.0274865362e14
3.89540746e14,1.9704341680310777e13,4.0418230096e14
3.9085862e14,1.9957470628629004e13,4.0561666138e14
3.92176328e14,2.0212952606607652e13,4.0705191315e14
3.93494202e14,2.047084109219355e13,4.0848805627e14
3.94812076e14,2.0731100433422145e13,4.0992509074e14
3.96129784e14,2.0993766282257996e13,4.1136301656e14
3.97447658e14,2.1258838638701094e13,4.1280183373e14
3.98765366e14,2.152633532873372e13,4.1424136398e14
4.0008324e14,2.1796238526373598e13,4.1568196385e14
4.01401114e14,2.2068583883585277e13,4.1712345507e14
4.02718822e14,2.2343371400368758e13,4.1856583764e14
4.04036696e14,2.2620618902706316e13,4.2000893329e14
4.0535457e14,2.290030856461568e13,4.2145309856e14
4.06672278e14,2.318245821207912e13,4.2289815518e14
4.07990152e14,2.346710349706119e13,4.2434410315e14
4.0930786e14,2.375420876759734e13,4.2579112074e14
4.10625734e14,2.4043809675652125e13,4.2723885141e14
4.11943608e14,2.433592404720781e13,4.286876517e14
4.13261316e14,2.463051623029985e13,4.3013734334e14
4.1457919e14,2.4927639702875074e13,4.315881046e14
4.15897064e14,2.5227276638951207e13,4.3303957894e14
4.17214772e14,2.5529444864510516e13,4.344921229e14
4.1853264600000006e14,2.5834162205535285e13,4.3594573648e14
4.1985035399999994e14,2.6141393010060965e13,4.3740006314e14
4.21168228e14,2.6451190756034375e13,4.3885563769e14
4.22486102e14,2.676355544345552e13,4.4031192532e14
4.2380381e14,2.7078469246342125e13,4.4176946084e14
4.2512168399999994e14,2.739594999067646e13,4.4322770944e14
4.26439558e14,2.771601550244081e13,4.4468702766e14
4.27757266e14,2.8038665781635164e13,4.461474155e14
4.2907514e14,2.836390082825953e13,4.4760887296e14
4.3039284800000006e14,2.8691756294278457e13,4.4907122177e14
4.31710722e14,2.9022196527727402e13,4.5053446193e14
4.33028596e14,2.935523935458862e13,4.5199894998e14
4.34346304e14,2.9690920426826688e13,4.5346432938e14
4.3566417800000006e14,3.0029204092477035e13,4.549307784e14
4.36982052e14,3.0370126003504223e13,4.5639811877000006e14
4.3829976e14,3.071368615990825e13,4.5786670703000006e14
4.39617634e14,3.1059884561689113e13,4.5933618664000006e14
4.40935342e14,3.140873903482909e13,4.6080673586999994e14
4.4225321599999994e14,3.1760231753345902e13,4.6227835472e14
4.4357109e14,3.2114398369204105e13,4.6375086491999994e14
4.44888798e14,3.247122105642142e13,4.6522462301e14
4.46206672e14,3.283071764098013e13,4.6669945072000006e14
4.4752454599999994e14,3.3192888122880227e13,4.6817534805000006e14
4.48842254e14,3.355775032810399e13,4.6965213673e14
4.50160128e14,3.392528643066914e13,4.711301733e14
4.51477836e14,3.4295514256557957e13,4.7260927949e14
4.5279571000000006e14,3.4668433805770445e13,4.7408927703e14
4.54113584e14,3.504406290428887e13,4.7557052245999994e14
4.55431292e14,3.542240155211324e13,4.7705283750999994e14
4.56749166e14,3.580344974924355e13,4.7853640044999994e14
4.5806704000000006e14,3.618722532166207e13,4.8002085474000006e14
4.5938474799999994e14,3.657371044338654e13,4.8150655692e14
4.60702622e14,3.696292294039923e13,4.8299332872e14
4.62020496e14,3.7354862812700125e13,4.8448117013999994e14
4.63338204e14,3.774954788627152e13,4.8597008118000006e14
4.6465607799999994e14,3.814696033513114e13,4.8746024011e14
4.65973786e14,3.8547135811243516e13,4.8895146866e14
4.6729166e14,3.895003866264412e13,4.904439451e14
4.68609534e14,3.9355704541297484e13,4.9193731289e14
4.6992724200000006e14,3.9764133447203625e13,4.9343210684e14
4.71245116e14,4.017530755438026e13,4.9492797041000006e14
4.7256299e14,4.058926251479194e13,4.9642490360000006e14
4.73880698e14,4.100598050245638e13,4.9792290640999994e14
4.7519857200000006e14,4.1425479343355875e13,4.9942233538e14
4.7651627999999994e14,4.184774121150813e13,5.009226557e14
4.77834154e14,4.2272783932895445e13,5.0242440218e14
4.79152028e14,4.27006075075178e13,5.0392721828e14
4.8046973600000006e14,4.313122976135747e13,5.0543110399999994e14
4.8178760999999994e14,4.356463286843219e13,5.0693641588e14
4.83105484e14,4.400083465472423e13,5.0844261911e14
4.84423192e14,4.4439835120233586e13,5.099502485e14
4.85741066e14,4.488163426496027e13,5.1145894751e14
4.8705877399999994e14,4.5326249914886555e13,5.1296889440999994e14
4.88376648e14,4.5773646418047875e13,5.144800892e14
4.89694522e14,4.622387725239108e13,5.1599253187999994e14
4.9101223e14,4.667690676595159e13,5.1750604418000006e14
4.9233010400000006e14,4.713275278471171e13,5.1902098263999994e14
4.93647978e14,4.75914331346537e13,5.2053699072e14
4.94965686e14,4.805291216381301e13,5.2205424669e14
4.9628356e14,4.8517225524154195e13,5.2357275055e14
4.9760126800000006e14,4.898437321567725e13,5.2509250229999994e14
4.9891914199999994e14,4.945433741239991e13,5.2661332367000006e14
5.00237016e14,4.992713594030443e13,5.2813557119999994e14
5.01554724e14,5.040276879939083e13,5.2965906661999994e14
5.02872598e14,5.088125381564138e13,5.3118380992999994e14
5.0419047199999994e14,5.136255533709152e13,5.3270980113000006e14
5.0550818e14,5.184670901570582e13,5.3423704022e14
5.06826054e14,5.233369702550199e13,5.357655272e14
5.08143762e14,5.2823537192462305e13,5.3729526206999994e14
5.0946163600000006e14,5.331622951658677e13,5.388264231e14
5.1077951e14,5.381177399787539e13,5.4035865375e14
5.12097218e14,5.4310152810345875e13,5.4189231056e14
